dataset,model,accuracy_mean,accuracy_sd,f1_mean,f1_sd,precision_mean,precision_sd,recall_mean,recall_sd,auc_mean,auc_sd,params,flops,gpu_mem_mb
WISDM,QTModel,0.8943,0.0188,0.8945,0.0189,0.8962,0.0185,0.8943,0.0188,0.9927,0.0018,102.72 k,1.89 MMac,"(17.03936, 50.331648)"
WISDM,ResNet1D,0.8136,0.0107,0.8134,0.0109,0.816,0.0118,0.8136,0.0107,0.9663,0.006,1.5 M,14.04 MMac,"(17.03936, 50.331648)"
WISDM,EfficientNetB0_1D,0.7597,0.0258,0.759,0.0261,0.7653,0.0246,0.7597,0.0258,0.9531,0.0086,3.24 M,28.29 MMac,"(17.03936, 50.331648)"
WISDM,MnasNet_1D,0.6927,0.0173,0.6939,0.0175,0.701,0.0168,0.6927,0.0173,0.9235,0.0103,2.98 M,24.99 MMac,"(17.03936, 50.331648)"
WISDM,MobileNet_1D,0.7269,0.0235,0.7256,0.0237,0.7273,0.0237,0.7269,0.0235,0.9393,0.0063,3.18 M,34.52 MMac,"(17.03936, 50.331648)"
WISDM,MobileNetV2_1D,0.7236,0.0255,0.7223,0.0242,0.7257,0.0216,0.7236,0.0255,0.9376,0.0116,2.19 M,20.18 MMac,"(17.03936, 50.331648)"
WISDM,TSLANet,0.8441,0.0188,0.8439,0.0191,0.8459,0.0193,0.8441,0.0188,0.9846,0.0025,314.05 k,14.72 MMac,"(17.03936, 50.331648)"
UCIHAR,QTModel,0.717,0.0116,0.7105,0.0111,0.7174,0.0114,0.717,0.0116,0.9602,0.0028,102.72 k,1.24 MMac,"(17.03936, 50.331648)"
UCIHAR,ResNet1D,0.7502,0.0131,0.7496,0.0133,0.7503,0.0139,0.7502,0.0131,0.9432,0.0025,1.5 M,9.82 MMac,"(17.03936, 50.331648)"
UCIHAR,EfficientNetB0_1D,0.7236,0.0161,0.724,0.0165,0.7268,0.0168,0.7236,0.0161,0.9328,0.0048,3.24 M,16.69 MMac,"(17.03936, 50.331648)"
UCIHAR,MnasNet_1D,0.6766,0.0108,0.6767,0.0113,0.6823,0.0108,0.6766,0.0108,0.9162,0.0047,2.98 M,14.65 MMac,"(17.03936, 50.331648)"
UCIHAR,MobileNet_1D,0.7058,0.0047,0.7051,0.0053,0.7058,0.0059,0.7058,0.0047,0.9267,0.0028,3.18 M,20.86 MMac,"(17.03936, 50.331648)"
UCIHAR,MobileNetV2_1D,0.7016,0.0049,0.7028,0.005,0.7055,0.0056,0.7016,0.0049,0.9278,0.0028,2.19 M,11.98 MMac,"(17.03936, 50.331648)"
UCIHAR,TSLANet,0.6757,0.0114,0.6731,0.012,0.6731,0.0123,0.6757,0.0114,0.9448,0.0031,311.75 k,9.32 MMac,"(17.03936, 50.331648)"
MOTIONSENSE,QTModel,0.9096,0.0081,0.9097,0.0081,0.9111,0.0082,0.9096,0.0081,0.9931,0.001,102.72 k,1.89 MMac,"(17.03936, 50.331648)"
MOTIONSENSE,ResNet1D,0.8925,0.01,0.8925,0.0099,0.8932,0.01,0.8925,0.01,0.9844,0.0017,1.5 M,14.04 MMac,"(17.03936, 50.331648)"
MOTIONSENSE,EfficientNetB0_1D,0.8821,0.0111,0.8822,0.011,0.8829,0.0107,0.8821,0.0111,0.9823,0.0021,3.24 M,28.29 MMac,"(17.03936, 50.331648)"
